[step   6950/50000] loss=0.1688  lr=4.79e-05  grad=1.56  71.7 sa/s
[step   7000/50000] loss=0.1570  lr=4.79e-05  grad=1.40  71.7 sa/s
[step   7050/50000] loss=0.1618  lr=4.79e-05  grad=2.10  71.7 sa/s
[step   7100/50000] loss=0.1611  lr=4.78e-05  grad=1.44  71.7 sa/s
[step   7150/50000] loss=0.1576  lr=4.78e-05  grad=1.33  71.7 sa/s
[step   7200/50000] loss=0.1649  lr=4.78e-05  grad=1.46  71.6 sa/s
[step   7250/50000] loss=0.1595  lr=4.77e-05  grad=2.34  71.7 sa/s
[step   7300/50000] loss=0.1632  lr=4.77e-05  grad=1.87  71.5 sa/s
[step   7350/50000] loss=0.1568  lr=4.77e-05  grad=1.16  71.6 sa/s
[step   7400/50000] loss=0.1654  lr=4.76e-05  grad=1.23  71.6 sa/s
[step   7450/50000] loss=0.1628  lr=4.76e-05  grad=1.28  71.7 sa/s
[step   7500/50000] loss=0.1584  lr=4.76e-05  grad=1.05  71.6 sa/s
[step   7550/50000] loss=0.1525  lr=4.75e-05  grad=1.96  71.7 sa/s
[step   7600/50000] loss=0.1649  lr=4.75e-05  grad=0.85  71.7 sa/s
[step   7650/50000] loss=0.1543  lr=4.75e-05  grad=1.23  71.6 sa/s
[step   7700/50000] loss=0.1602  lr=4.74e-05  grad=1.27  71.7 sa/s
[step   7750/50000] loss=0.1609  lr=4.74e-05  grad=1.48  71.8 sa/s
[step   7800/50000] loss=0.1573  lr=4.74e-05  grad=1.70  71.9 sa/s
[step   7850/50000] loss=0.1570  lr=4.73e-05  grad=1.17  71.8 sa/s
[step   7900/50000] loss=0.1561  lr=4.73e-05  grad=1.08  71.7 sa/s
[step   7950/50000] loss=0.1605  lr=4.73e-05  grad=1.73  71.7 sa/s
[step   8000/50000] loss=0.1598  lr=4.72e-05  grad=1.86  71.4 sa/s
[eval    8000] val_loss=0.1891  (5.2s)
[ckpt] saved checkpoints/joint-run-b/last.pt
[step   8050/50000] loss=0.1668  lr=4.72e-05  grad=1.14  54.7 sa/s
[step   8100/50000] loss=0.1579  lr=4.71e-05  grad=1.89  71.8 sa/s
[step   8150/50000] loss=0.1587  lr=4.71e-05  grad=1.21  71.8 sa/s
[step   8200/50000] loss=0.1577  lr=4.71e-05  grad=1.41  71.7 sa/s
[step   8250/50000] loss=0.1600  lr=4.70e-05  grad=1.35  71.8 sa/s
[step   8300/50000] loss=0.1539  lr=4.70e-05  grad=1.98  71.8 sa/s
[step   8350/50000] loss=0.1539  lr=4.70e-05  grad=1.27  71.9 sa/s
[step   8400/50000] loss=0.1529  lr=4.69e-05  grad=1.93  71.8 sa/s
[step   8450/50000] loss=0.1655  lr=4.69e-05  grad=1.26  71.9 sa/s
[step   8500/50000] loss=0.1588  lr=4.68e-05  grad=1.34  71.9 sa/s
[step   8550/50000] loss=0.1538  lr=4.68e-05  grad=2.07  71.9 sa/s
[step   8600/50000] loss=0.1548  lr=4.68e-05  grad=1.98  71.9 sa/s
[step   8650/50000] loss=0.1484  lr=4.67e-05  grad=1.96  71.9 sa/s
[step   8700/50000] loss=0.1544  lr=4.67e-05  grad=1.88  71.9 sa/s
[step   8750/50000] loss=0.1473  lr=4.67e-05  grad=1.57  71.9 sa/s
[step   8800/50000] loss=0.1558  lr=4.66e-05  grad=0.93  71.9 sa/s
[step   8850/50000] loss=0.1540  lr=4.66e-05  grad=1.67  71.9 sa/s
[step   8900/50000] loss=0.1563  lr=4.65e-05  grad=2.15  71.9 sa/s
[step   8950/50000] loss=0.1497  lr=4.65e-05  grad=1.66  71.9 sa/s
[step   9000/50000] loss=0.1582  lr=4.65e-05  grad=1.18  71.9 sa/s
[step   9050/50000] loss=0.1597  lr=4.64e-05  grad=1.60  70.0 sa/s
[step   9100/50000] loss=0.1550  lr=4.64e-05  grad=1.42  71.9 sa/s
[step   9150/50000] loss=0.1518  lr=4.63e-05  grad=0.98  71.9 sa/s
[step   9200/50000] loss=0.1561  lr=4.63e-05  grad=1.66  71.9 sa/s
[step   9250/50000] loss=0.1493  lr=4.62e-05  grad=1.54  71.9 sa/s
[step   9300/50000] loss=0.1564  lr=4.62e-05  grad=1.87  71.9 sa/s
[step   9350/50000] loss=0.1519  lr=4.62e-05  grad=1.34  71.9 sa/s
[step   9400/50000] loss=0.1457  lr=4.61e-05  grad=1.56  71.8 sa/s
[step   9450/50000] loss=0.1516  lr=4.61e-05  grad=1.12  71.9 sa/s
[step   9500/50000] loss=0.1523  lr=4.60e-05  grad=0.98  71.9 sa/s
[step   9550/50000] loss=0.1489  lr=4.60e-05  grad=1.15  71.8 sa/s
[step   9600/50000] loss=0.1451  lr=4.59e-05  grad=1.26  71.9 sa/s
[step   9650/50000] loss=0.1493  lr=4.59e-05  grad=1.21  71.8 sa/s
[step   9700/50000] loss=0.1553  lr=4.59e-05  grad=0.95  71.9 sa/s
[step   9750/50000] loss=0.1545  lr=4.58e-05  grad=1.30  71.9 sa/s
[step   9800/50000] loss=0.1535  lr=4.58e-05  grad=1.41  71.9 sa/s
[step   9850/50000] loss=0.1554  lr=4.57e-05  grad=1.38  71.9 sa/s
[step   9900/50000] loss=0.1576  lr=4.57e-05  grad=1.17  71.9 sa/s
[step   9950/50000] loss=0.1516  lr=4.56e-05  grad=1.14  71.9 sa/s
[step  10000/50000] loss=0.1433  lr=4.56e-05  grad=1.42  71.8 sa/s
[eval   10000] val_loss=0.1848  (5.2s)
[ckpt] saved checkpoints/joint-run-b/last.pt
[step  10050/50000] loss=0.1551  lr=4.55e-05  grad=1.49  54.6 sa/s
[step  10100/50000] loss=0.1531  lr=4.55e-05  grad=1.73  71.9 sa/s
[step  10150/50000] loss=0.1425  lr=4.55e-05  grad=0.97  71.9 sa/s
[step  10200/50000] loss=0.1609  lr=4.54e-05  grad=1.54  71.9 sa/s
[step  10250/50000] loss=0.1556  lr=4.54e-05  grad=1.62  71.9 sa/s
[step  10300/50000] loss=0.1496  lr=4.53e-05  grad=1.41  71.9 sa/s
[step  10350/50000] loss=0.1439  lr=4.53e-05  grad=1.76  71.9 sa/s
[step  10400/50000] loss=0.1479  lr=4.52e-05  grad=2.05  71.9 sa/s
[step  10450/50000] loss=0.1487  lr=4.52e-05  grad=1.20  71.9 sa/s
[step  10500/50000] loss=0.1471  lr=4.51e-05  grad=1.21  71.8 sa/s
[step  10550/50000] loss=0.1463  lr=4.51e-05  grad=1.53  71.9 sa/s
[step  10600/50000] loss=0.1405  lr=4.50e-05  grad=0.94  71.8 sa/s
[step  10650/50000] loss=0.1419  lr=4.50e-05  grad=1.46  71.9 sa/s
[step  10700/50000] loss=0.1480  lr=4.49e-05  grad=1.27  71.8 sa/s
[step  10750/50000] loss=0.1400  lr=4.49e-05  grad=1.70  71.9 sa/s
[step  10800/50000] loss=0.1459  lr=4.48e-05  grad=1.69  71.8 sa/s
[step  10850/50000] loss=0.1461  lr=4.48e-05  grad=1.38  71.8 sa/s
[step  10900/50000] loss=0.1513  lr=4.47e-05  grad=1.30  71.8 sa/s
[step  10950/50000] loss=0.1501  lr=4.47e-05  grad=1.79  71.7 sa/s
[step  11000/50000] loss=0.1464  lr=4.47e-05  grad=1.41  71.5 sa/s
[step  11050/50000] loss=0.1483  lr=4.46e-05  grad=1.01  71.6 sa/s
[step  11100/50000] loss=0.1445  lr=4.46e-05  grad=1.80  71.7 sa/s
[step  11150/50000] loss=0.1467  lr=4.45e-05  grad=0.83  71.8 sa/s
[step  11200/50000] loss=0.1504  lr=4.45e-05  grad=1.54  71.7 sa/s
[step  11250/50000] loss=0.1488  lr=4.44e-05  grad=1.69  71.8 sa/s
[step  11300/50000] loss=0.1512  lr=4.44e-05  grad=1.20  71.8 sa/s
[step  11350/50000] loss=0.1529  lr=4.43e-05  grad=1.18  71.8 sa/s
[step  11400/50000] loss=0.1415  lr=4.43e-05  grad=1.33  71.9 sa/s
[step  11450/50000] loss=0.1419  lr=4.42e-05  grad=1.11  71.8 sa/s
[step  11500/50000] loss=0.1491  lr=4.42e-05  grad=1.44  71.8 sa/s
[step  11550/50000] loss=0.1425  lr=4.41e-05  grad=1.20  71.9 sa/s
[step  11600/50000] loss=0.1412  lr=4.40e-05  grad=1.44  71.8 sa/s
[step  11650/50000] loss=0.1549  lr=4.40e-05  grad=0.83  71.8 sa/s
[step  11700/50000] loss=0.1518  lr=4.39e-05  grad=0.76  71.9 sa/s
[step  11750/50000] loss=0.1465  lr=4.39e-05  grad=1.50  71.9 sa/s
[step  11800/50000] loss=0.1396  lr=4.38e-05  grad=1.53  71.9 sa/s
[step  11850/50000] loss=0.1436  lr=4.38e-05  grad=1.32  71.9 sa/s
[step  11900/50000] loss=0.1437  lr=4.37e-05  grad=1.64  71.9 sa/s
[step  11950/50000] loss=0.1517  lr=4.37e-05  grad=1.27  71.4 sa/s
[step  12000/50000] loss=0.1461  lr=4.36e-05  grad=1.19  71.8 sa/s
[eval   12000] val_loss=0.1666  (5.2s)
[ckpt] saved checkpoints/joint-run-b/last.pt
[step  12050/50000] loss=0.1439  lr=4.36e-05  grad=1.10  54.5 sa/s
[step  12100/50000] loss=0.1447  lr=4.35e-05  grad=0.83  71.9 sa/s
[step  12150/50000] loss=0.1477  lr=4.35e-05  grad=1.32  72.0 sa/s
[step  12200/50000] loss=0.1493  lr=4.34e-05  grad=1.53  71.9 sa/s
[step  12250/50000] loss=0.1521  lr=4.34e-05  grad=1.60  71.9 sa/s
[step  12300/50000] loss=0.1478  lr=4.33e-05  grad=1.94  71.9 sa/s
[step  12350/50000] loss=0.1476  lr=4.33e-05  grad=1.06  72.0 sa/s
[step  12400/50000] loss=0.1427  lr=4.32e-05  grad=1.61  72.0 sa/s
[step  12450/50000] loss=0.1419  lr=4.31e-05  grad=1.10  72.0 sa/s
[step  12500/50000] loss=0.1439  lr=4.31e-05  grad=1.18  72.0 sa/s
[step  12550/50000] loss=0.1429  lr=4.30e-05  grad=2.04  71.9 sa/s
[step  12600/50000] loss=0.1355  lr=4.30e-05  grad=1.25  71.9 sa/s
[step  12650/50000] loss=0.1491  lr=4.29e-05  grad=1.37  71.9 sa/s
[step  12700/50000] loss=0.1377  lr=4.29e-05  grad=1.38  72.0 sa/s
[step  12750/50000] loss=0.1414  lr=4.28e-05  grad=1.40  72.0 sa/s
